instance,mechanism_key,seed,makespan,iterations,elapsed,best_known,rpd
VFR400_20_10_Gap,adaptive,0,23632,1,5.021316766738892,21538,9.722351193239854
VFR200_40_10_Gap,adaptive,0,14721,1,11.829832077026367,13228,11.286664650740853
VFR300_20_10_Gap,adaptive,0,18620,1,5.007683038711548,16899,10.184034558257885
VFR400_40_10_Gap,adaptive,0,26314,1,25.067822694778442,23720,10.935919055649242
VFR200_20_10_Gap,adaptive,0,12851,1,5.00648307800293,11310,13.625110521662245
VFR300_40_10_Gap,adaptive,0,20546,1,18.369327783584595,18401,11.65697516439324
VFR100_60_10_Gap,adaptive,0,10169,1,21.01794409751892,9598,5.949156074182121
VFR400_60_10_Gap,adaptive,0,28403,1,83.44191002845764,25767,10.23013932549385
VFR300_60_10_Gap,adaptive,0,22550,1,66.5066499710083,20472,10.150449394294645
VFR100_40_10_Gap,adaptive,0,8612,1,6.2489941120147705,7952,8.299798792756539
VFR200_60_10_Gap,adaptive,0,16440,1,45.17688822746277,15000,9.6
VFR100_20_10_Gap,adaptive,0,7027,1,5.0051960945129395,6145,14.35313262815297
